dtmnfr;nuts1_dsg;nuts1_cod;nuts2_dsg;nuts2_cod;nuts3_dsg;nuts3_cod;distrito_ilha_dsg;município_dsg;freguesia_dsg;area_ha;area_km2
"010103";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Águeda;Aguada de Cima;2839.31;28.39
"010109";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Águeda;Fermentelos;858.2;8.58
"010112";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Águeda;Macinhata do Vouga;3195.44;31.95
"010119";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Águeda;Valongo do Vouga;4340.48;43.4
"010124";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Águeda;União das freguesias de Recardães e Espinhel;1991.78;19.92
"010125";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Águeda;União das freguesias de Travassô e Óis da Ribeira;1112.19;11.12
"010126";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Águeda;"União das freguesias de Trofa, Segadães e Lamas do Vouga";1586.43;15.86
"010127";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Águeda;União das freguesias do Préstimo e Macieira de Alcoba;4172.64;41.73
"010128";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Águeda;Agadão;3939.87;39.4
"010129";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Águeda;Aguada de Baixo;367.33;3.67
"010130";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Águeda;Águeda;2732.63;27.33
"010131";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Águeda;Barrô;651.68;6.52
"010132";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Águeda;Belazaima do Chão;1897.67;18.98
"010133";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Águeda;Borralha;870.3;8.7
"010134";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Águeda;Castanheira do Vouga;2971.49;29.71
"010202";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Albergaria-a-Velha;Alquerubim;1535.86;15.36
"010203";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Albergaria-a-Velha;Angeja;2125.17;21.25
"010204";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Albergaria-a-Velha;Branca;3028.86;30.29
"010206";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Albergaria-a-Velha;Ribeira de Fráguas;2674.54;26.75
"010209";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Albergaria-a-Velha;Albergaria-a-Velha e Valmaior;4699.64;47
"010210";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Albergaria-a-Velha;São João de Loure e Frossos;1818.42;18.18
"010304";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Anadia;Avelãs de Caminho;644.87;6.45
"010305";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Anadia;Avelãs de Cima;4057.8;40.58
"010307";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Anadia;Moita;3417.61;34.18
"010309";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Anadia;Sangalhos;1690.42;16.9
"010310";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Anadia;São Lourenço do Bairro;1538.31;15.38
"010312";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Anadia;Vila Nova de Monsarros;2372.04;23.72
"010313";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Anadia;Vilarinho do Bairro;2556.33;25.56
"010316";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Anadia;"União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas";2206.42;22.06
"010317";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Anadia;União das freguesias de Arcos e Mogofores;1439.3;14.39
"010318";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Anadia;"União das freguesias de Tamengos, Aguim e Óis do Bairro";1740.39;17.4
"010402";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Arouca;Alvarenga;3876.6;38.77
"010407";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Arouca;Chave;1090.53;10.91
"010409";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Arouca;Escariz;1798.46;17.98
"010411";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Arouca;Fermedo;1110.53;11.11
"010413";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Arouca;Mansores;1407.54;14.08
"010414";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Arouca;Moldes;2800.51;28.01
"010415";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Arouca;Rossas;1111.18;11.11
"010416";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Arouca;Santa Eulália;2304.76;23.05
"010417";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Arouca;São Miguel do Mato;1710.47;17.1
"010418";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Arouca;Tropeço;1783.87;17.84
"010419";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Arouca;Urrô;1078.75;10.79
"010420";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Arouca;Várzea;179.1;1.79
"010421";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Arouca;União das freguesias de Arouca e Burgo;1524.41;15.24
"010422";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Arouca;União das freguesias de Cabreiros e Albergaria da Serra;3123.16;31.23
"010423";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Arouca;União das freguesias de Canelas e Espiunca;3572.94;35.73
"010424";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Arouca;União das freguesias de Covelo de Paivó e Janarde;4437.7;44.38
"010501";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Aveiro;Aradas;871.74;8.72
"010502";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Aveiro;Cacia;3575.49;35.75
"010505";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Aveiro;Esgueira;1711.41;17.11
"010508";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Aveiro;Oliveirinha;1202.52;12.03
"010510";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Aveiro;São Bernardo;393.71;3.94
"010511";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Aveiro;São Jacinto;1383.71;13.84
"010513";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Aveiro;Santa Joana;590.42;5.9
"010515";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Aveiro;Eixo e Eirol;2244.64;22.45
"010516";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Aveiro;"Requeixo, Nossa Senhora de Fátima e Nariz";3236.34;32.36
"010517";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Aveiro;União das freguesias de Glória e Vera Cruz;4547.6;45.48
"010602";Continente;"1";Norte;"11";Tâmega e Sousa;11C;Aveiro;Castelo de Paiva;Fornos;421.18;4.21
"010606";Continente;"1";Norte;"11";Tâmega e Sousa;11C;Aveiro;Castelo de Paiva;Real;3224.82;32.25
"010607";Continente;"1";Norte;"11";Tâmega e Sousa;11C;Aveiro;Castelo de Paiva;Santa Maria de Sardoura;979.5;9.8
"010608";Continente;"1";Norte;"11";Tâmega e Sousa;11C;Aveiro;Castelo de Paiva;São Martinho de Sardoura;436.66;4.37
"010612";Continente;"1";Norte;"11";Tâmega e Sousa;11C;Aveiro;Castelo de Paiva;Bairros;873.8;8.74
"010613";Continente;"1";Norte;"11";Tâmega e Sousa;11C;Aveiro;Castelo de Paiva;Paraíso;2289.41;22.89
"010614";Continente;"1";Norte;"11";Tâmega e Sousa;11C;Aveiro;Castelo de Paiva;Pedorido;1210.1;12.1
"010615";Continente;"1";Norte;"11";Tâmega e Sousa;11C;Aveiro;Castelo de Paiva;Raiva;1536.91;15.37
"010616";Continente;"1";Norte;"11";Tâmega e Sousa;11C;Aveiro;Castelo de Paiva;Sobrado;528.14;5.28
"010702";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Espinho;Espinho;176.62;1.77
"010704";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Espinho;Paramos;587.17;5.87
"010705";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Espinho;Silvalde;545.48;5.45
"010707";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Espinho;Anta;601.82;6.02
"010708";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Espinho;Guetim;194.58;1.95
"010801";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Estarreja;Avanca;2106.73;21.07
"010805";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Estarreja;Pardilhó;1570.25;15.7
"010806";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Estarreja;Salreu;1653.91;16.54
"010809";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Estarreja;União das freguesias de Canelas e Fermelã;2302.19;23.02
"010810";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Estarreja;Beduído;2055.67;20.56
"010811";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Estarreja;Veiros;1128.59;11.29
"010901";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Santa Maria da Feira;Argoncilhe;821.34;8.21
"010902";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Santa Maria da Feira;Arrifana;529.47;5.29
"010904";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Santa Maria da Feira;Escapães;430.33;4.3
"010907";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Santa Maria da Feira;Fiães;637.82;6.38
"010908";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Santa Maria da Feira;Fornos;313.64;3.14
"010913";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Santa Maria da Feira;Lourosa;577.4;5.77
"010914";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Santa Maria da Feira;Milheirós de Poiares;786.51;7.87
"010916";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Santa Maria da Feira;Mozelos;580.94;5.81
