dtmn;nuts1_dsg;nuts1_cod;nuts2_dsg;nuts2_cod;nuts3_dsg;nuts3_cod;distrito_ilha_dsg;município_dsg;area_ha;area_km2;perim_km;altitude_max_m;altitude_min_m
"0101";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Águeda;33527.44;335.27;105;762;4
"0102";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Albergaria-a-Velha;15882.5;158.83;82;425;0
"0103";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Anadia;21663.48;216.63;75;525;13
"0104";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Arouca;32910.52;329.11;118;1222;50
"0105";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Aveiro;19757.57;197.58;77;78;0
"0106";Continente;"1";Norte;"11";Tâmega e Sousa;11C;Aveiro;Castelo de Paiva;11500.53;115.01;61;694;25
"0107";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Espinho;2105.68;21.06;24;100;0
"0108";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Estarreja;10817.33;108.17;68;130;0
"0109";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Santa Maria da Feira;21587.65;215.88;88;450;25
"0110";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Ílhavo;7347.55;73.48;41;61;0
"0111";Continente;"1";Centro;"19";Região de Coimbra;"192";Aveiro;Mealhada;11065.66;110.66;65;568;25
"0112";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Murtosa;7308.78;73.09;47;17;0
"0113";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Oliveira de Azeméis;16110.41;161.1;86;645;25
"0114";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Oliveira do Bairro;8731.99;87.32;52;78;5
"0115";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Ovar;14770.25;147.7;71;225;0
"0116";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;São João da Madeira;794.3;7.94;13;276;150
"0117";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Sever do Vouga;12987.56;129.88;68;841;25
"0118";Continente;"1";Centro;"19";Região de Aveiro;"191";Aveiro;Vagos;16491.5;164.92;60;68;0
"0119";Continente;"1";Norte;"11";Área Metropolitana do Porto;11A;Aveiro;Vale de Cambra;14733.47;147.33;69;1046;75
"0201";Continente;"1";Alentejo;1C;Baixo Alentejo;1C2;Beja;Aljustrel;45847.41;458.47;112;258;63
"0202";Continente;"1";Alentejo;1C;Baixo Alentejo;1C2;Beja;Almodôvar;77788.03;777.88;199;577;150
"0203";Continente;"1";Alentejo;1C;Baixo Alentejo;1C2;Beja;Alvito;26485.32;264.85;81;315;100
"0204";Continente;"1";Alentejo;1C;Baixo Alentejo;1C2;Beja;Barrancos;16841.73;168.42;106;412;125
"0205";Continente;"1";Alentejo;1C;Baixo Alentejo;1C2;Beja;Beja;114647.55;1146.48;208;284;25
"0206";Continente;"1";Alentejo;1C;Baixo Alentejo;1C2;Beja;Castro Verde;56944.23;569.44;163;288;125
